xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,x,y
130676916,Grande Dixence,285.000,2365.000,695.000,dt5,1961,130676149,2597249.319,1103229.896
130676891,Greuel,17.000,503.000,157.000,dt7,1984,130676086,2668390.814,1234679.914
130676892,Gries,60.000,2387.500,400.000,dt5,1965,130676089,2671560.085,1145969.687
145234337,Gruben,17.000,0.000,0.000,dt7,1995,145234334,2621627.623,1117229.026
130676895,Gübsensee Nord,7.000,684.000,210.000,dt7,1900,130676095,2741540.646,1251579.663
130676896,Gübsensee Ost,24.000,683.550,105.000,dt5,1900,130676095,2742130.641,1251599.652
130676897,Gübsensee West,17.000,684.000,170.000,dt7,1900,130676095,2741010.656,1251349.669
145233428,Hagneck,15.000,438.750,100.000,dt1,2015,145233425,2580151.126,1212120.449
130676898,Handeck,16.000,1302.940,145.000,dt7,1942,130676098,2666480.339,1163319.716
130676959,"Heidsee, Oberer",5.000,1485.690,360.000,dt7,1919,130676266,2761430.839,1178509.716
130677023,"Heidsee, Unterer",10.000,1483.740,180.000,dt7,1919,130676446,2761410.837,1178129.717
130676899,Hintersand,10.000,1299.000,400.000,dt7,1962,130676101,2715640.624,1188929.61
130676900,Hongrin Nord,123.000,1257.000,325.000,dt8,1969,130676104,2569659.573,1141620.301
130676901,Hongrin Sud,95.000,1257.000,272.000,dt8,1969,130676104,2569439.58,1141430.304
130677001,Hühnermatt (Sihlsee),15.000,892.430,155.000,dt7,1937,130676386,2700060.762,1221929.873
130676904,Illgraben,49.500,1041.500,64.500,dt5,1969,130676113,2613939.585,1125800.03
130676905,Illsee,25.000,2361.320,270.000,dt5,1927,130676116,2614969.486,1123089.946
130677002,In den Schlagen (Sihlsee),33.500,891.740,127.200,dt5,1936,130676386,2701700.784,1223479.867
130676906,Innerferrera,28.000,1446.000,61.000,dt5,1961,130676119,2753300.703,1154779.523
130676909,Isola,45.000,1605.000,290.000,dt6,1960,130676128,2734490.72,1145319.495
130676969,Jonenbach,19.350,516.350,163.000,dt7,2006,130676530,2677230.813,1236339.849
130676910,Käppelistutz,16.540,797.800,44.700,dt5,1945,130676131,2673830.721,1194069.772
132025269,Klingnau,15.000,320.000,133.500,dt1,1935,132025257,2659120.058,1271803.17
130676912,La Fouly,18.000,1576.000,58.000,dt5,1972,130676137,2573449.033,1087250.291
130676918,Lago Bianco Nord,12.900,2235.750,290.000,dt5,1911,130676155,2797601.258,1143599.747
130676919,Lago Bianco Süd,26.000,2237.000,190.000,dt5,1911,130676155,2799301.305,1141199.774
131887044,Laufenburg,32.000,308.640,103.200,dt1,1914,130676572,2645900.797,1267500.307
130676924,Le Pontet,21.000,794.050,34.000,dt5,1970,130676170,2520099.65,1175580.69
130676925,Les Clées,27.200,744.500,100.000,dt5,1955,130676173,2520749.638,1175120.697
130676926,Les Esserts,20.000,1517.000,310.000,dt7,1973,130676176,2562809.201,1099860.412
130676927,Les Marécottes,12.000,1103.700,225.000,dt4,1925,130676179,2566529.269,1106480.309
130676928,Les Toules,86.000,1811.000,460.000,dt8,1963,130676182,2581539.06,1086090.122
130676929,Lessoc,32.400,776.900,90.000,dt2,1973,130676185,2570429.655,1150610.168
130676930,Limmern,146.000,1858.700,370.000,dt8,1963,130676188,2719750.645,1189489.641
130676931,Linthal,12.000,677.000,550.000,dt7,1964,130676191,2718220.66,1197449.632
130676933,Löbbia,26.000,1421.000,90.000,dt5,1959,130676197,2770751.042,1138339.576
130676936,Lucendro,73.000,2135.250,269.000,dt2,1947,130676206,2685190.302,1157509.666
130676937,Luzzone,225.000,1609.000,510.000,dt8,1963,130676209,2716910.606,1157999.589
130676915,Maigrauge,21.680,553.300,113.500,dt5,1872,130676146,2579189.848,1183120.159
130676938,Malvaglia,92.000,991.600,292.000,dt8,1959,130676212,2721670.654,1142679.454
130676831,Mapragg,75.000,870.000,132.000,dt5,1976,130676215,2755500.652,1201699.801
130676939,Marmorera (Castiletto),91.000,1684.400,400.000,dt7,1954,130676218,2768340.902,1153269.578
130676940,Mattenalp,25.000,1877.500,141.000,dt5,1950,130676221,2661030.347,1164959.799
130676941,Mattmark,117.000,2204.000,780.000,dt7,1967,130676224,2640259.365,1099849.531
130676943,Mauvoisin,250.000,1976.000,520.000,dt8,1957,130676230,2593039.253,1094060.041
130676944,Melchsee,16.000,1895.000,295.000,dt7,1958,130676233,2663200.548,1180469.757
130676960,"Meretschisee, Oberer",4.000,2361.000,70.000,dt7,1927,130676269,2616419.488,1122779.933
130677024,"Meretschisee, Unterer",5.450,2307.400,80.000,dt7,1927,130676449,2616769.501,1123079.935
130676945,Moiry,148.000,2250.000,610.000,dt8,1958,130676236,2610199.342,1109499.639
130676946,Molina,54.000,692.600,93.000,dt5,1951,130676239,2728840.584,1125399.164
130676947,Montsalvens,52.000,802.300,110.000,dt8,1920,130676242,2576549.697,1162390.102
130676948,Motec,11.000,1562.000,689.000,dt7,1958,130676245,2614159.45,1111299.694
130676837,Mühlebach,10.150,326.150,225.000,dt7,2007,130676533,2606900.451,1265100.583
130677041,Mühleberg,29.000,491.940,250.000,dt5,1920,130676500,2588310.086,1202000.188
130676949,Murgsee Mitte,5.000,1819.470,46.000,dt5,1925,130676248,2730560.742,1211179.728
130676950,Murgsee Nord,3.000,1819.800,46.000,dt5,1925,130676248,2730680.738,1211289.722
