xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,geometry
130676863.0,Chapfensee Ost,12.0,1031.5,141.0,dt5,1948.0,130676005.0,POINT (2748020.676 1212459.728)
130676864.0,Châtelard CFF,33.0,1117.5,125.0,dt7,1975.0,130676008.0,POINT (2562949.17 1101300.351)
130676865.0,Châtelard ESA,11.0,1123.0,230.0,dt5,1972.0,130676011.0,POINT (2562189.206 1100220.42)
130676866.0,Châtelot,74.0,719.0,150.0,dt8,1953.0,130676014.0,POINT (2547329.681 1216900.639)
130676867.0,Cleuson,87.0,2187.0,420.0,dt5,1950.0,130676017.0,POINT (2590949.365 1106760.016)
130676921.0,Contra,220.0,473.45,380.0,dt8,1965.0,130676161.0,POINT (2708850.213 1117109.192)
130676869.0,Corina,11.0,1191.7,450.0,dt7,1959.0,130676020.0,POINT (2736060.721 1143479.48)
130677012.0,Crestawalddamm (Sufers),10.0,1404.0,244.0,dt7,1962.0,130676416.0,POINT (2748820.749 1159279.575)
130676870.0,Croix,15.0,919.5,100.0,dt7,1955.0,130676023.0,POINT (2599814.525 1127990.028)
130676871.0,Curnera,153.0,1957.7,350.0,dt8,1966.0,130676026.0,POINT (2697570.403 1165689.627)
130676872.0,Darbola,23.2,1153.7,146.9,dt5,1958.0,130676029.0,POINT (2737820.66 1131539.212)
130677051.0,Drachtenloch,14.7,475.7,77.0,dt7,2005.0,130676527.0,POINT (2661710.816 1243189.997)
130676835.0,Eggen,10.0,1597.5,250.0,dt7,1958.0,130676593.0,POINT (2646639.602 1117359.64)
131895801.0,Eglisau,20.0,343.99,114.0,dt1,1920.0,131895798.0,POINT (2677801.096 1269899.964)
130676873.0,Egschi,45.0,1152.2,80.0,dt5,1949.0,130676032.0,POINT (2745370.761 1177529.604)
130676875.0,Emosson,180.0,1931.5,554.0,dt8,1974.0,130676038.0,POINT (2560799.261 1101900.387)
130676832.0,Engeweiher,7.0,545.75,580.0,dt7,1909.0,130676551.0,POINT (2687731.152 1284129.679)
130676836.0,Fah,13.0,1761.0,50.0,dt5,1981.0,130676596.0,POINT (2650809.515 1108839.466)
130676877.0,Ferden,67.0,1314.0,126.1,dt8,1975.0,130676044.0,POINT (2624459.763 1137109.88)
130676878.0,Ferpècle,28.4,1895.8,91.0,dt8,1963.0,130676047.0,POINT (2608619.33 1100749.732)
130676879.0,Fionnay FMM,13.0,1493.5,250.0,dt7,1956.0,130676050.0,POINT (2589999.356 1098000.03)
130676880.0,Fionnay GD,22.88,1486.88,40.0,dt7,1957.0,130676053.0,POINT (2589469.351 1098110.032)
131994572.0,Flumenthal,18.0,427.35,47.0,dt1,1970.0,131994569.0,POINT (2611458.377 1230923.328)
130676838.0,Formigario B18,34.2,1064.69,28.18,dt8,1870.0,130676536.0,POINT (2704610.313 1149609.619)
130676882.0,Fully,11.05,2135.71,109.6,dt6,1914.0,130676059.0,POINT (2573439.413 1113820.367)
130676829.0,Garichte Hauptmauer,42.0,1624.75,230.0,dt5,1931.0,130676062.0,POINT (2726220.617 1202049.713)
130676883.0,Garichte Nebenmauer,18.0,1624.75,254.0,dt5,1931.0,130676062.0,POINT (2726550.613 1201939.719)
130676884.0,Gebidem,122.0,1439.0,327.0,dt8,1967.0,130676065.0,POINT (2643389.819 1135689.732)
130676885.0,Gelmer,35.0,1850.74,370.0,dt5,1929.0,130676068.0,POINT (2667640.337 1162669.72)
130676886.0,Giétroz-du-Fond,13.9,1816.5,22.4,dt5,1965.0,130676071.0,POINT (2556999.466 1109860.388)
130676887.0,Gigerwald,137.0,1337.0,430.0,dt8,1976.0,130676074.0,POINT (2748740.67 1197579.718)
130676888.0,Godey,35.0,1401.0,170.0,dt7,1974.0,130676077.0,POINT (2584429.523 1126400.226)
130676889.0,Göscheneralp,155.0,1797.0,540.0,dt3,1960.0,130676080.0,POINT (2681110.446 1166579.687)
130676890.0,Göschenerreuss,35.0,1085.0,53.0,dt5,1948.0,130676083.0,POINT (2688130.432 1169129.615)
132025105.0,Gösgen,18.0,390.24,98.0,dt1,1917.0,132025101.0,POINT (2636521.571 1246104.199)
130676916.0,Grande Dixence,285.0,2365.0,695.0,dt5,1961.0,130676149.0,POINT (2597249.319 1103229.896)
130676891.0,Greuel,17.0,503.0,157.0,dt7,1984.0,130676086.0,POINT (2668390.814 1234679.914)
130676892.0,Gries,60.0,2387.5,400.0,dt5,1965.0,130676089.0,POINT (2671560.085 1145969.687)
145234337.0,Gruben,17.0,0.0,0.0,dt7,1995.0,145234334.0,POINT (2621627.623 1117229.026)
130676895.0,Gübsensee Nord,7.0,684.0,210.0,dt7,1900.0,130676095.0,POINT (2741540.646 1251579.663)
130676896.0,Gübsensee Ost,24.0,683.55,105.0,dt5,1900.0,130676095.0,POINT (2742130.641 1251599.652)
130676897.0,Gübsensee West,17.0,684.0,170.0,dt7,1900.0,130676095.0,POINT (2741010.656 1251349.669)
145233428.0,Hagneck,15.0,438.75,100.0,dt1,2015.0,145233425.0,POINT (2580151.126 1212120.449)
130676898.0,Handeck,16.0,1302.94,145.0,dt7,1942.0,130676098.0,POINT (2666480.339 1163319.716)
130676959.0,"Heidsee, Oberer",5.0,1485.69,360.0,dt7,1919.0,130676266.0,POINT (2761430.839 1178509.716)
130677023.0,"Heidsee, Unterer",10.0,1483.74,180.0,dt7,1919.0,130676446.0,POINT (2761410.837 1178129.717)
130676899.0,Hintersand,10.0,1299.0,400.0,dt7,1962.0,130676101.0,POINT (2715640.624 1188929.61)
130676900.0,Hongrin Nord,123.0,1257.0,325.0,dt8,1969.0,130676104.0,POINT (2569659.573 1141620.301)
