abbr,time,rre150m0
BAS,192207,123.0
BAS,192208,102.3
BAS,192209,86.1
BAS,192210,96.1
BAS,192211,66.5
BAS,192212,93.2
BAS,192301,39.5
BAS,192302,84.3
BAS,192303,49.3
BAS,192304,45.2
BAS,192305,144.1
BAS,192306,36.3
BAS,192307,24.5
BAS,192308,61.4
BAS,192309,71.1
BAS,192310,159.9
BAS,192311,142.2
BAS,192312,83.3
BAS,192401,20.5
BAS,192402,14.0
BAS,192403,54.8
BAS,192404,68.2
BAS,192405,126.5
BAS,192406,92.2
BAS,192407,108.2
BAS,192408,90.9
BAS,192409,71.4
BAS,192410,51.4
BAS,192411,7.5
BAS,192412,13.5
BAS,192501,24.4
BAS,192502,60.0
BAS,192503,31.4
BAS,192504,97.6
BAS,192505,110.2
BAS,192506,30.0
BAS,192507,168.3
BAS,192508,108.6
BAS,192509,95.0
BAS,192510,37.6
BAS,192511,35.1
BAS,192512,83.2
BAS,192601,41.5
BAS,192602,28.0
BAS,192603,37.6
BAS,192604,22.6
BAS,192605,102.1
BAS,192606,125.1
BAS,192607,86.6
BAS,192608,28.6
BAS,192609,39.8
BAS,192610,127.8
BAS,192611,40.2
BAS,192612,18.8
BAS,192701,43.1
BAS,192702,67.4
BAS,192703,58.2
BAS,192704,75.4
BAS,192705,67.5
BAS,192706,82.6
BAS,192707,92.3
BAS,192708,198.0
BAS,192709,89.0
BAS,192710,10.9
BAS,192711,57.7
BAS,192712,17.3
BAS,192801,46.5
BAS,192802,36.1
BAS,192803,55.4
BAS,192804,43.3
BAS,192805,78.9
BAS,192806,81.1
BAS,192807,23.7
BAS,192808,99.1
BAS,192809,46.1
BAS,192810,73.3
BAS,192811,89.9
BAS,192812,53.4
BAS,192901,12.0
BAS,192902,17.3
BAS,192903,14.2
BAS,192904,57.7
BAS,192905,61.8
BAS,192906,60.5
BAS,192907,82.7
BAS,192908,61.0
BAS,192909,15.3
BAS,192910,87.4
BAS,192911,43.4
BAS,192912,98.8
BAS,193001,29.7
BAS,193002,19.9
BAS,193003,29.7
BAS,193004,112.3
BAS,193005,119.2
BAS,193006,103.8
BAS,193007,198.0
BAS,193008,52.8
BAS,193009,60.6
BAS,193010,101.8
BAS,193011,96.3
BAS,193012,36.5
BAS,193101,52.8
BAS,193102,37.9
BAS,193103,96.0
BAS,193104,33.4
BAS,193105,82.2
BAS,193106,89.8
BAS,193107,109.9
BAS,193108,130.8
BAS,193109,66.6
BAS,193110,67.7
BAS,193111,11.1
BAS,193112,37.8
BAS,193201,38.1
BAS,193202,8.2
BAS,193203,56.1
BAS,193204,51.5
BAS,193205,153.3
BAS,193206,83.8
